Name	Type	Energy	Distance(Mpc)	k-correction	z
SN2010F	II	20_1000	39.	0.896354	0.009363
# SN2009dd	II	20_1000	13.	0.896354
SN2008M	II	20_1000	36.6	0.896354	0.007615
SN2008ij	II	20_1000	21.	0.896354	0.004959
SN2006bp	IIP	20_1000	14.9	0.896354	0.00351
SN2004et	II	50_800	5.5	1.26472	0.00016
SN2004dj	IIP	50_800	3.2	1.26472	0.000434
SN2002hh	II	40_800	5.1	1.17052	0.0002
SN2001ig	II	20_1000	11	0.896354	0.00314
SN1999gi	IIP	50_1000	8.7	1.17052	0.00197
SN1999em	IIP	40_800	7.8	1.17052	0.00239
SN1987A	IIpec	50_1000	0.05	1.17502	0.0000012
SN1987A	IIpec	20_1000	0.05	0.896354	0.0000012
SN1981K	II	20_1000	7.2	0.896354	0.0016
SN1980K	IIL	30_800	5.1	1.06796	0.00016
SN1978K	II	30_1000	4.5	1.	0.001584
SN2011ja	IIP	30_1000	3.	1.	0.001797
SN2013ej	IIP/IIL	50_800	9.57	1.26472	0.002192
